City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,plettenberg bay,-34.0527,23.3716,286.07,71,86,1.54,ZA,1712979547
1,keflavik,64.0049,-22.5624,271.39,74,40,6.17,IS,1712979548
2,tutoia,-2.7619,-42.2744,298.91,91,100,3.85,BR,1712979548
3,whitehorse,60.7161,-135.0538,275.94,48,75,4.63,CA,1712979548
4,ushuaia,-54.8,-68.3,278.96,81,0,3.09,AR,1712979548
5,yellowknife,62.456,-114.3525,276.71,95,75,5.14,CA,1712979549
6,blackmans bay,-43.0167,147.3167,294.22,77,99,2.43,AU,1712979549
7,wenchang,30.904,118.4887,299.6,58,61,3.21,CN,1712979549
8,bethel,41.3712,-73.414,286.08,72,46,0.89,US,1712979550
9,olonkinbyen,70.9221,-8.7187,262.24,68,99,11.68,SJ,1712979550
10,adamstown,-25.066,-130.1015,295.29,65,18,7.15,PN,1712979550
11,bilibino,68.0546,166.4372,261.45,80,100,4.08,RU,1712979550
12,monrovia,6.3005,-10.7969,299.02,91,36,2.08,LR,1712979409
13,edinburgh of the seven seas,-37.0676,-12.3116,290.73,96,100,7.14,SH,1712979551
14,albany,42.6001,-73.9662,285.38,79,97,3.47,US,1712979461
15,santa terezinha,-29.9002,-50.0904,294.93,89,100,10.45,BR,1712979552
16,invercargill,-46.4,168.35,287.05,74,32,2.68,NZ,1712979552
17,college,64.8569,-147.8028,276.18,67,100,3.6,US,1712979552
18,gamba,-2.65,10.0,298.09,93,100,0.86,GA,1712979552
19,zapala,-38.8992,-70.0544,279.41,93,100,3.94,AR,1712979553
20,alaghsas,17.0187,8.0168,300.71,12,100,1.93,NE,1712979553
21,fort mcmurray,56.7268,-111.381,278.92,93,100,4.12,CA,1712979553
22,padang,-0.9492,100.3543,304.18,66,98,2.27,ID,1712979554
23,funafuti,-8.5243,179.1942,306.15,70,75,3.6,TV,1712979554
24,haiku-pauwela,20.9219,-156.3051,298.99,76,0,2.06,US,1712979554
25,kununurra,-15.7667,128.7333,305.14,31,100,6.17,AU,1712979555
26,stanley,54.868,-1.6985,283.31,88,75,3.09,GB,1712979555
27,inari,68.906,27.0288,274.26,94,100,3.49,FI,1712979555
28,nadi,-17.8,177.4167,306.15,58,40,5.66,FJ,1712979321
29,cho dok,10.7,105.1167,309.15,38,99,3.76,VN,1712979556
30,at taj,24.2049,23.2857,291.62,20,100,4.58,LY,1712979556
31,ulsteinvik,62.3432,5.8487,282.65,79,61,8.49,NO,1712979557
32,puerto natales,-51.7236,-72.4875,278.32,94,85,1.96,CL,1712979557
33,balkanabat,39.5108,54.3671,286.36,82,100,3.46,TM,1712979557
34,port-aux-francais,-49.35,70.2167,282.41,97,100,14.08,TF,1712979557
35,ambon,-3.6954,128.1814,304.23,74,40,3.09,ID,1712979558
36,sitka,57.0531,-135.33,280.09,81,100,4.12,US,1712979558
37,viedma,-40.8135,-62.9967,284.41,86,100,1.78,AR,1712979295
38,tchintabaraden,15.8969,5.7985,300.76,10,98,3.77,NE,1712979558
39,callao,-12.0667,-77.15,297.99,78,0,4.63,PE,1712979402
40,rikaze,29.25,88.8833,282.92,24,11,1.59,CN,1712979559
41,tobruk,32.0836,23.9764,289.37,82,0,1.97,LY,1712979559
42,waitangi,-43.9535,-176.5597,290.83,97,100,5.36,NZ,1712979560
43,tolanaro,-25.0319,46.9987,292.19,94,20,2.06,MG,1712979560
44,itoigawa,37.0333,137.85,292.6,61,82,2.96,JP,1712979560
45,coahuayana de hidalgo,18.7,-103.6583,297.23,75,100,0.79,MX,1712979561
46,qaqortoq,60.7167,-46.0333,265.02,82,30,2.45,GL,1712979561
47,constantia,44.1833,28.65,284.65,64,2,3.69,RO,1712979393
48,enewetak,11.3474,162.3373,300.29,77,75,7.47,MH,1712979561
49,kourou,5.1552,-52.6478,301.18,86,75,3.0,GF,1712979562
50,huanan,46.2167,130.5167,294.85,39,75,3.92,CN,1712979562
51,bredasdorp,-34.5322,20.0403,285.5,85,0,2.11,ZA,1712979562
52,ribeira grande,38.5167,-28.7,288.58,91,100,7.6,PT,1712979562
53,ilulissat,69.2167,-51.1,267.16,93,100,0.0,GL,1712979563
54,atafu village,-8.5421,-172.5159,303.18,74,100,4.4,TK,1712979563
55,puerto deseado,-47.7503,-65.8938,282.13,78,0,1.68,AR,1712979563
56,flying fish cove,-10.4217,105.6791,302.97,74,75,4.63,CX,1712979564
57,port mathurin,-19.6833,63.4167,299.95,71,83,6.59,MU,1712979564
58,corner brook,48.9667,-57.9484,281.24,97,100,2.4,CA,1712979363
59,grytviken,-54.2811,-36.5092,273.11,86,67,13.65,GS,1712979564
60,kodiak,57.79,-152.4072,275.88,52,40,5.66,US,1712979565
61,papatowai,-46.5619,169.4708,285.72,60,13,2.78,NZ,1712979565
62,barcelos,41.5388,-8.6151,291.44,83,76,1.45,PT,1712979565
63,kristiansund,63.1115,7.732,282.18,76,100,8.75,NO,1712979565
64,guitiriz,43.1817,-7.8966,286.87,91,100,0.95,ES,1712979566
65,jamestown,42.097,-79.2353,278.92,97,100,7.72,US,1712979566
66,inyonga,-6.7167,32.0667,290.59,97,100,2.08,TZ,1712979566
67,egilsstadir,65.2653,-14.3948,269.1,86,100,5.66,IS,1712979566
68,palapag,12.5458,125.1147,303.89,60,100,3.73,PH,1712979567
69,tiksi,71.6872,128.8694,256.68,84,100,9.3,RU,1712979567
70,pama,11.2497,0.7075,304.99,48,100,3.9,BF,1712979567
71,buala,-8.145,159.5921,302.73,71,95,1.99,SB,1712979567
72,goshen,41.5823,-85.8344,282.6,79,20,4.12,US,1712979363
73,longyearbyen,78.2186,15.6401,266.06,58,75,11.32,SJ,1712979568
74,mount sterling,38.0565,-83.9433,283.23,90,0,2.57,US,1712979568
75,myeik,12.4333,98.6,304.99,64,30,2.15,MM,1712979569
76,puerto ayora,-0.7393,-90.3518,298.13,89,47,2.07,EC,1712979569
77,itaituba,-4.2761,-55.9836,296.6,99,98,0.53,BR,1712979569
78,cuamba,-14.8031,36.5372,293.48,85,100,2.93,MZ,1712979569
79,east london,-33.0153,27.9116,284.67,87,20,2.06,ZA,1712979570
80,esil,51.9556,66.4042,283.37,74,91,8.66,KZ,1712979570
81,griffith,41.5284,-87.4237,285.87,95,0,2.57,US,1712979570
82,ntui,4.45,11.6333,296.23,91,100,1.05,CM,1712979570
83,anka,12.1138,5.9243,303.59,39,100,3.12,NG,1712979571
84,qashyr,53.0675,76.1036,282.21,63,98,7.99,KZ,1712979571
85,minas de marcona,-15.2119,-75.1103,290.66,82,89,3.72,PE,1712979571
86,beauraing,50.1104,4.9555,286.69,91,100,2.43,BE,1712979571
87,cheria,35.2731,7.7519,281.27,91,100,8.07,DZ,1712979572
88,atar,20.5169,-13.0499,301.89,11,0,4.39,MR,1712979572
89,palikir - national government center,6.9248,158.1611,300.62,83,100,2.57,FM,1712979572
90,kaintragarh,20.7167,84.5333,305.78,33,1,1.74,IN,1712979572
91,kismayo,-0.3582,42.5454,302.16,78,95,3.34,SO,1712979573
92,utrik,11.2278,169.8474,299.91,80,100,8.73,MH,1712979573
93,queenstown,-31.8976,26.8753,277.79,87,1,0.28,ZA,1712979573
94,chonchi,-42.6128,-73.8092,282.71,81,0,0.52,CL,1712979574
95,punta arenas,-53.15,-70.9167,279.21,87,0,4.12,CL,1712979574
96,pisco,-13.7,-76.2167,294.27,88,0,5.66,PE,1712979575
97,taroa,8.7058,171.2275,299.84,85,100,6.54,MH,1712979575
98,picayune,30.5255,-89.6795,290.25,83,33,1.62,US,1712979461
99,namibe,-15.1961,12.1522,295.39,73,72,2.61,AO,1712979575
100,orkney,-26.9802,26.6727,287.24,59,64,3.3,ZA,1712979576
101,gurupi,-11.7292,-49.0686,297.82,90,100,2.18,BR,1712979576
102,kempsey,-31.0833,152.8333,298.68,61,35,1.34,AU,1712979321
103,kibondo,-3.5864,30.7203,288.93,97,99,0.93,TZ,1712979576
104,lihue,21.9789,-159.3672,299.73,73,75,5.66,US,1712979529
105,walvis bay,-22.9575,14.5053,289.68,88,11,3.09,NA,1712979577
106,bei'an,24.5399,109.533,299.94,76,100,5.81,CN,1712979578
107,margaret river,-33.95,115.0667,295.31,50,7,4.44,AU,1712979578
108,gemena,3.25,19.7667,294.26,97,100,0.84,CD,1712979578
109,touros,-5.1989,-35.4608,298.85,90,19,2.92,BR,1712979296
110,bayanhongor,46.7167,100.1167,272.75,91,99,3.07,MN,1712979579
111,petawawa,45.9001,-77.3328,280.81,93,100,3.13,CA,1712979579
112,shahrak,34.1074,64.3052,280.73,73,0,3.02,AF,1712979579
113,west island,-12.1568,96.8225,302.14,79,40,6.17,CC,1712979579
114,talnakh,69.4865,88.3972,262.15,76,100,7.46,RU,1712979580
115,vila franca do campo,37.7167,-25.4333,289.38,91,100,2.96,PT,1712979580
116,iqaluit,63.7506,-68.5145,257.0,72,0,4.12,CA,1712979580
117,dudinka,69.4058,86.1778,262.41,88,100,10.28,RU,1712979581
118,bogotol,56.2078,89.5342,272.65,54,97,7.29,RU,1712979581
119,puerto aysen,-45.4,-72.7,279.33,86,1,1.48,CL,1712979581
120,takoradi,4.8845,-1.7554,299.92,87,100,2.74,GH,1712979581
121,udachny,66.4167,112.4,260.07,77,45,4.86,RU,1712979582
122,anadyr,64.75,177.4833,267.43,68,75,5.0,RU,1712979582
123,ust-nera,64.5667,143.2,270.5,88,100,1.78,RU,1712979582
124,yaval,21.1667,75.7,303.57,51,33,4.24,IN,1712979582
125,youssoufia,32.2463,-8.5294,293.7,19,0,2.56,MA,1712979495
126,hailar,49.2,119.7,287.22,43,47,2.58,CN,1712979361
127,nhamunda,-2.1861,-56.7131,297.3,99,100,0.51,BR,1712979583
128,hithadhoo,-0.6,73.0833,301.78,74,100,1.85,MV,1712979583
129,lagdo,9.05,13.7333,302.88,27,91,1.42,CM,1712979584
130,raduzhny,62.0961,77.475,273.78,99,100,5.28,RU,1712979584
131,lerwick,60.1545,-1.1494,282.15,83,68,14.19,GB,1712979584
132,teknaf,20.8624,92.3058,306.67,37,14,3.48,BD,1712979585
133,crane,31.3974,-102.3501,295.18,26,100,12.92,US,1712979585
134,mount isa,-20.7333,139.5,304.02,27,24,4.12,AU,1712979585
135,manismata,-2.4667,111.0333,301.02,91,85,1.38,ID,1712979586
136,kodinsk,58.6881,99.1844,268.95,57,72,2.19,RU,1712979586
137,kuta,-8.7233,115.1723,304.12,74,40,6.71,ID,1712979586
138,wailua homesteads,22.0669,-159.378,299.39,78,75,5.66,US,1712979586
139,nkowakowa,-23.8878,30.2871,286.75,89,78,0.9,ZA,1712979587
140,akureyri,65.6835,-18.0878,269.11,74,100,2.57,IS,1712979587
141,cabo san lucas,22.8909,-109.9124,294.76,70,40,3.6,MX,1712979383
142,port elizabeth,-33.918,25.5701,283.88,93,0,1.54,ZA,1712979294
143,abadeh,31.1608,52.6506,281.93,61,3,0.63,IR,1712979588
144,pechora,65.1472,57.2244,259.74,89,100,4.92,RU,1712979588
145,langsa,4.4683,97.9683,308.69,41,80,1.19,ID,1712979588
146,diawara,15.022,-12.5437,306.79,23,64,3.21,SN,1712979589
147,ola,59.5833,151.2833,272.67,92,58,1.07,RU,1712979589
148,rio grande,-32.035,-52.0986,293.73,84,100,8.42,BR,1712979379
149,daru,-9.0763,143.2092,302.23,64,17,3.87,PG,1712979589
150,orcopampa,-15.2661,-72.3417,282.47,78,81,1.22,PE,1712979590
151,ancud,-41.8697,-73.8203,282.9,76,0,3.18,CL,1712979590
152,timbuktu,16.7735,-3.0074,297.88,15,23,8.03,ML,1712979590
153,colonia,50.9333,6.95,287.83,87,0,1.54,DE,1712979550
154,ustka,54.5805,16.8619,283.51,95,98,5.91,PL,1712979591
155,fortaleza,-3.7227,-38.5247,300.49,94,40,2.06,BR,1712979005
156,basse-terre,16.1667,-61.6667,297.92,78,68,3.09,GP,1712979591
157,thompson,55.7435,-97.8558,272.24,74,75,1.54,CA,1712979591
158,hawaiian paradise park,19.5933,-154.9731,295.39,97,100,2.06,US,1712979592
159,abu qurqas,27.9312,30.8384,290.22,62,42,6.34,EG,1712979592
160,borogontsy,62.6683,131.1683,263.65,78,7,4.34,RU,1712979592
161,guerrero negro,27.9769,-114.0611,289.08,78,0,4.64,MX,1712979592
162,katabu,-4.9333,122.5167,302.08,83,64,0.38,ID,1712979593
163,vernon,50.2581,-119.2691,284.35,53,26,1.54,CA,1712979428
164,puerto baquerizo moreno,-0.9,-89.6,298.32,87,75,2.7,EC,1712979594
165,hermanus,-34.4187,19.2345,285.26,82,0,4.92,ZA,1712979595
166,st. john's,47.5649,-52.7093,279.9,88,100,8.23,CA,1712979325
167,yatou,37.15,122.3833,292.79,61,37,5.86,CN,1712979595
168,monaragala,6.8714,81.3487,302.6,61,100,3.22,LK,1712979595
169,forster,-32.1667,152.5167,298.92,67,0,4.16,AU,1712979596
170,cherepanovo,54.2222,83.381,275.62,67,100,7.98,RU,1712979596
171,khoyniki,51.8911,29.9552,283.27,78,98,2.72,BY,1712979596
172,misratah,32.3754,15.0925,290.92,82,6,10.36,LY,1712979597
173,petropavlovsk-kamchatsky,53.0452,158.6483,279.48,93,40,6.0,RU,1712979597
174,abaza,52.655,90.0928,276.52,33,62,1.48,RU,1712979597
175,freetown,8.484,-13.2299,299.99,74,11,4.63,SL,1712979598
176,sinnar,13.5691,33.5672,299.3,12,15,4.57,SD,1712979598
177,badger,64.8,-147.5333,276.13,70,100,3.6,US,1712979598
178,aver-o-mar,41.4078,-8.7812,291.66,82,0,1.54,PT,1712979598
179,kikvidze,50.7416,43.0518,283.47,73,47,4.2,RU,1712979599
180,hobyo,5.3505,48.5268,302.66,73,48,5.13,SO,1712979599
181,tazovsky,67.4667,78.7,266.33,93,100,8.81,RU,1712979549
182,pacasmayo,-7.4006,-79.5714,295.27,79,26,5.3,PE,1712979600
183,kanniyakumari,8.0833,77.5667,303.77,66,100,7.83,IN,1712979600
184,riberalta,-10.9833,-66.1,296.44,97,100,1.04,BO,1712979600
185,kachug,53.9606,105.8817,273.97,72,100,5.93,RU,1712979600
186,lindisfarne,-42.8333,147.35,295.03,43,40,6.17,AU,1712979601
187,lata,40.1629,-8.3327,285.88,84,81,1.28,PT,1712979601
188,mount gambier,-37.8333,140.7667,290.95,55,100,3.41,AU,1712979601
189,duba,27.3513,35.6901,297.78,40,66,6.3,SA,1712979602
190,bantogon,6.5333,124.0333,302.57,69,17,3.95,PH,1712979602
191,aral,40.5156,81.2636,295.16,13,96,4.36,CN,1712979602
192,igarka,67.4667,86.5833,263.72,90,100,10.73,RU,1712979603
193,kajaani,64.2273,27.7285,275.18,69,0,3.6,FI,1712979603
194,mugia,43.1041,-9.2179,285.88,76,100,2.59,ES,1712979603
195,hastings,50.8552,0.5729,285.11,93,99,3.66,GB,1712979603
196,nuuk,64.1835,-51.7216,270.49,74,100,2.57,GL,1712979374
197,luderitz,-26.6481,15.1594,290.86,61,9,3.21,NA,1712979604
198,vilyuysk,63.7553,121.6247,261.48,78,69,1.34,RU,1712979604
199,kuqa,41.7278,82.9364,291.94,16,100,8.62,CN,1712979605
200,semporna,4.4818,118.6112,303.49,66,14,2.69,MY,1712979605
201,orenburg,51.7727,55.0988,285.16,75,100,3.98,RU,1712979489
202,newman,37.3138,-121.0208,289.28,71,53,6.71,US,1712979606
203,freeport,40.6576,-73.5832,287.69,74,100,7.15,US,1712979606
204,rongelap,11.1635,166.8941,300.25,76,98,8.33,MH,1712979607
205,vieux fort,13.7167,-60.95,300.15,83,40,11.32,LC,1712979607
206,lucapa,-8.4192,20.7447,292.24,97,100,1.06,AO,1712979607
207,quepos,9.4236,-84.1652,300.88,74,100,0.55,CR,1712979608
208,scone,56.4194,-3.4051,282.2,85,67,2.24,GB,1712979608
209,bankim,6.083,11.4905,294.46,95,85,0.31,CM,1712979608
210,vorgashor,67.5833,63.95,261.93,96,100,6.95,RU,1712979608
211,jaisalmer,26.9147,70.9181,304.7,28,92,3.43,IN,1712979609
212,san antonio de pale,-1.4014,5.6325,301.53,81,100,5.69,GQ,1712979609
213,tejen,37.3834,60.5054,286.18,82,100,7.68,TM,1712979609
214,lompoc,34.6391,-120.4579,288.03,79,100,3.09,US,1712979610
215,trinity beach,-16.7888,145.6968,304.27,79,100,4.12,AU,1712979610
216,isafjordur,66.0755,-23.124,263.42,80,95,0.63,IS,1712979610
217,lazaro cardenas,17.9583,-102.2,298.34,82,71,0.69,MX,1712979610
218,horsham,51.064,-0.3272,285.62,84,0,1.03,GB,1712979489
219,khandyga,62.6667,135.6,263.91,78,100,2.2,RU,1712979611
220,laibin,23.7,109.2667,301.79,68,100,7.3,CN,1712979611
221,kapuskasing,49.4169,-82.4331,274.15,86,100,8.75,CA,1712979611
222,afaahiti,-17.75,-149.2833,301.08,74,99,9.99,PF,1712979612
223,kashgar,39.4547,75.9797,294.71,11,40,5.0,CN,1712979612
224,hammerfest,70.6634,23.6821,275.4,80,75,0.0,NO,1712979613
225,andratx,39.5755,2.4202,286.27,65,0,2.34,ES,1712979613
226,port alfred,-33.5906,26.891,287.51,75,67,2.44,ZA,1712979613
227,vuktyl,63.8567,57.3094,261.87,78,100,5.88,RU,1712979613
228,codrington,-38.2667,141.9667,291.13,60,100,4.45,AU,1712979614
229,zambezi,-13.5432,23.1047,291.89,97,100,2.75,ZM,1712979614
230,port augusta,-32.5,137.7667,295.01,38,0,3.52,AU,1712979615
231,shimoda,34.6667,138.95,292.35,63,100,5.34,JP,1712979615
232,el colorado,-26.3081,-59.3729,294.72,99,100,1.13,AR,1712979340
233,dalandzadgad,43.5708,104.425,283.5,25,66,18.13,MN,1712979615
234,bel ombre,-4.6167,55.4167,301.06,89,40,0.51,SC,1712979616
235,gelendzhik,44.5731,38.0747,287.5,78,85,2.24,RU,1712979481
236,nur-sultan,51.1801,71.446,279.12,61,20,8.0,KZ,1712979616
237,thunder bay,48.4001,-89.3168,277.14,60,0,4.12,CA,1712979617
238,susuman,62.7833,148.1667,268.7,82,100,2.68,RU,1712979617
239,medina,24.4686,39.6142,296.39,27,0,6.17,SA,1712979365
240,hasaki,35.7333,140.8333,294.42,69,53,7.89,JP,1712979618
241,alofi,-19.0595,-169.9187,303.09,74,20,2.57,NU,1712979618
242,itoman,26.1247,127.6694,300.36,92,75,4.63,JP,1712979618
243,north bay,46.3168,-79.4663,275.16,93,100,9.77,CA,1712979619
244,collingwood,44.4834,-80.2164,276.53,95,100,13.53,CA,1712979619
245,hirara,24.8,125.2833,299.3,83,75,3.09,JP,1712979620
246,suntar,62.1444,117.6319,264.93,78,100,2.75,RU,1712979620
247,sanctuary point,-35.1114,150.629,296.04,69,30,3.24,AU,1712979620
248,murghob,38.1702,73.9667,268.74,66,79,2.07,TJ,1712979621
249,buckeye,33.3703,-112.5838,300.87,15,0,6.64,US,1712979412
250,louiseville,46.2559,-72.9415,283.16,81,100,7.72,CA,1712979622
251,turpan,42.9333,89.1667,289.62,16,93,6.38,CN,1712979622
252,georgetown,5.4112,100.3354,305.12,66,20,1.54,MY,1712979622
253,weyburn,49.6668,-103.8511,285.27,35,50,7.72,CA,1712979394
254,mossel bay,-34.1831,22.146,283.11,75,6,4.12,ZA,1712979623
255,rutana,-3.8667,30.1,287.31,93,99,0.34,BI,1712979623
256,duragan,41.4158,35.0544,285.35,88,5,0.83,TR,1712979623
257,nova sintra,14.8667,-24.7167,295.72,82,53,9.9,CV,1712979624
258,mount pearl,47.5166,-52.7813,279.44,88,100,8.23,CA,1712979624
259,aykhal,66.0,111.5,259.78,79,57,5.75,RU,1712979624
260,gamboma,-1.8764,15.8644,296.51,95,100,1.16,CG,1712979625
261,nabire,-3.3667,135.4833,299.0,92,100,0.66,ID,1712979625
262,sao tome,0.3365,6.7273,300.76,83,97,2.77,ST,1712979625
263,lebu,-37.6167,-73.65,284.37,82,5,3.94,CL,1712979626
264,kapa'a,22.0752,-159.319,300.14,78,75,5.66,US,1712979417
265,sorong,-0.8833,131.25,302.06,72,64,2.28,ID,1712979626
266,ko pha ngan,9.7578,100.0291,303.53,74,86,6.1,TH,1712979627
267,letlhakeng,-24.0944,25.0298,287.76,78,14,4.02,BW,1712979627
268,klyuchi,52.2667,79.1667,278.66,56,100,7.38,RU,1712979627
269,tura,25.5198,90.2201,307.73,20,0,2.83,IN,1712979628
270,tazacorte,28.629,-17.9293,292.69,52,0,3.09,ES,1712979628
271,coquimbo,-29.9533,-71.3436,287.0,88,20,3.6,CL,1712979169
272,reggane,26.7158,0.1714,289.4,28,0,3.84,DZ,1712979628
273,fruita,39.1589,-108.729,290.79,22,0,2.57,US,1712979629
274,nyurba,63.2842,118.3319,262.48,76,54,2.16,RU,1712979629
275,samana,19.2056,-69.3369,296.94,92,84,4.06,DO,1712979629
276,berezovo,63.9381,65.0419,266.1,72,97,4.06,RU,1712979630
277,floro,61.5996,5.0328,281.19,87,100,9.77,NO,1712979630
278,verkhnevilyuysk,63.4453,120.3167,262.57,75,81,1.53,RU,1712979630
279,fale old settlement,-9.3852,-171.2468,303.43,72,100,4.77,TK,1712979631
280,porto novo,6.4965,2.6036,303.05,80,99,3.59,BJ,1712979631
281,el bauga,18.262,33.9081,294.95,19,3,5.51,SD,1712979631
282,nova xavantina,-14.6667,-52.35,295.79,98,100,0.35,BR,1712979632
283,marsh harbour,26.5412,-77.0636,295.11,66,3,4.22,BS,1712979632
